Term;Alice’sAdventuresinWonderland.txt;ATaleofTwoCitie.txt;Frankenstein.txt;HeartofDarkness.txt;MobyDick.txt;PrideandPrejudice.txt;SherlockHolmes.txt
infatuation;"0,000000";"0,000000";"0,000095";"0,000000";"0,000034";"0,000111";"0,000000"
Bloomsbury;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
stubble;"0,000000";"0,000104";"0,000000";"0,000000";"0,000053";"0,000000";"0,000000"
beautiful;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
rectify;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
eventual;"0,000000";"0,000000";"0,000151";"0,000000";"0,000053";"0,000000";"0,000000"
Matter;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
palsy;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
defined;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
voyages—The;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
nestling;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
dissecting;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
swells;"0,000000";"0,000066";"0,000095";"0,000000";"0,000371";"0,000000";"0,000000"
tracery;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Releasing;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
clouded;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Are;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
creating;"0,000000";"0,000000";"0,000301";"0,000000";"0,000053";"0,000000";"0,000000"
Gross;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
Ark;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
Arm;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
—here;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
sweeping;"0,000000";"0,000000";"0,000000";"0,000128";"0,000404";"0,000000";"0,000172"
Art;"0,000000";"0,000369";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
mobbing;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
placidity;"0,000000";"0,000066";"0,000000";"0,000128";"0,000067";"0,000000";"0,000000"
anaconda;"0,000000";"0,000000";"0,000000";"0,000000";"0,000189";"0,000000";"0,000000"
rheumatic;"0,000000";"0,000000";"0,000000";"0,000000";"0,000284";"0,000000";"0,000000"
before—if;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
starve;"0,000000";"0,000000";"0,000000";"0,000000";"0,000053";"0,000175";"0,000000"
sottish;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
Dante;"0,000000";"0,000000";"0,000151";"0,000000";"0,000053";"0,000000";"0,000000"
Asa;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
Swedes;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
chemists;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
reported;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
Ask;"0,000000";"0,000923";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
come—their;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
worried;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
kitchen;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
prevented;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
creation;"0,000000";"0,000000";"0,001807";"0,000256";"0,000202";"0,000000";"0,000000"
vexations;"0,000000";"0,000000";"0,000151";"0,000000";"0,000000";"0,000175";"0,000000"
antlers;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
banding;"0,000000";"0,000000";"0,000000";"0,000000";"0,000095";"0,000000";"0,000000"
absolution;"0,000000";"0,000000";"0,000267";"0,000000";"0,000000";"0,000000";"0,000000"
reporter;"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000242"
marketing;"0,000000";"0,000185";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
FATHER;"0,001326";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000";"0,000000"
torture;"0,000000";"0,000329";"0,001141";"0,000000";"0,000034";"0,000000";"0,000000"
