|  | Frankenstein.txt |
| Justine’s | 1.1103462E-5 |
| bred | 1.1103462E-5 |
| proportionate | 1.1103462E-5 |
| Six | 3.3310385E-5 |
| overwhelmed | 5.551731E-5 |
| back | 1.6655194E-4 |
| expectation | 6.662077E-5 |
| heavier | 1.1103462E-5 |
| heeded | 1.1103462E-5 |
| states | 5.551731E-5 |
| duration | 1.1103462E-5 |
| sheets | 1.1103462E-5 |
| load | 3.3310385E-5 |
| company | 5.551731E-5 |
| loaf | 2.2206925E-5 |
| dimmed | 2.2206925E-5 |
| blinded | 2.2206925E-5 |
| length | 2.9979346E-4 |
| priest | 2.2206925E-5 |
| grand | 4.441385E-5 |
| babe | 1.1103462E-5 |
| overwhelming | 4.441385E-5 |
| fiendish | 6.662077E-5 |
| grant | 3.3310385E-5 |
| dearer | 5.551731E-5 |
| Relieve | 1.1103462E-5 |
| newsletter | 1.1103462E-5 |
| invincible | 3.3310385E-5 |
| construct | 1.1103462E-5 |
| attempt | 1.1103462E-4 |
| thick | 7.772423E-5 |
| conciliating | 2.2206925E-5 |
| December | 1.1103462E-5 |
| Despite | 1.1103462E-5 |
| diffusing | 1.1103462E-5 |
| revealed | 1.1103462E-5 |
| lock | 1.1103462E-5 |
| kindness | 2.9979346E-4 |
| dearly | 3.3310385E-5 |
| lying | 3.3310385E-5 |
| glittering | 3.3310385E-5 |
| immaculate | 1.1103462E-5 |
| exceeded | 2.2206925E-5 |
| made | 7.7724236E-4 |
| being | 0.0010659323 |
| yielded | 3.3310385E-5 |
| bade | 4.441385E-5 |
| hoping | 2.2206925E-5 |
| calmer | 3.3310385E-5 |
| contents | 1.1103462E-5 |
| siroc | 1.1103462E-5 |
| curse | 9.993116E-5 |
| interval | 4.441385E-5 |
| littleness | 1.1103462E-5 |
| dog | 2.2206925E-5 |
| divulged | 1.1103462E-5 |
| Cologne | 1.1103462E-5 |
| status | 4.441385E-5 |
| imperious | 1.1103462E-5 |
| familiarity | 1.1103462E-5 |
| calmed | 4.441385E-5 |
| cultivating | 1.1103462E-5 |
| pours | 1.1103462E-5 |
| stamp | 1.1103462E-5 |
| albatross | 1.1103462E-5 |
| overhanging | 1.1103462E-5 |
| scattered | 5.551731E-5 |
| government | 4.441385E-5 |
| known | 1.5544846E-4 |
| stream | 7.772423E-5 |
| condemnation | 1.1103462E-5 |
| nurse | 9.993116E-5 |
| blackest | 1.1103462E-5 |
| crime | 1.776554E-4 |
| stand | 2.2206925E-5 |
| surround | 4.441385E-5 |
| disappointments | 1.1103462E-5 |
| knows | 6.662077E-5 |
| acquaintances | 1.1103462E-5 |
| peaked | 1.1103462E-5 |
| forward | 1.5544846E-4 |
| cultivation | 4.441385E-5 |
| widest | 2.2206925E-5 |
| shone | 1.1103462E-4 |
| Pacific | 1.1103462E-5 |
| scaffold | 3.3310385E-5 |
| Wollstonecraft | 4.441385E-5 |
| comparable | 1.1103462E-5 |
| THAT | 2.2206925E-5 |
| mail | 1.1103462E-5 |
| use | 2.1096578E-4 |
| subject | 1.9986232E-4 |
| sadness | 4.441385E-5 |
| main | 1.1103462E-5 |
| Lake | 2.2206925E-5 |
| effusions | 1.1103462E-5 |
| esteemed | 2.2206925E-5 |
| sufficiency | 1.1103462E-5 |
| Magnus | 3.3310385E-5 |
| concentrated | 1.1103462E-5 |
| negotiation | 1.1103462E-5 |
| credit | 6.662077E-5 |
| alter | 4.441385E-5 |
| waste | 4.441385E-5 |
| cries | 2.2206925E-5 |
| cheerfully | 3.3310385E-5 |
| brook | 2.2206925E-5 |
| daybreak | 1.1103462E-5 |
| bearing | 3.3310385E-5 |
| dry | 7.772423E-5 |
| includes | 2.2206925E-5 |
| Mainz | 2.2206925E-5 |
| poisoned | 2.2206925E-5 |
| picking | 1.1103462E-5 |
| woes | 2.2206925E-5 |
| compass | 1.1103462E-5 |
| fidelity | 1.1103462E-5 |
| Information | 5.551731E-5 |
| augury | 1.1103462E-5 |
| ball | 1.1103462E-5 |
| “Villain | 1.1103462E-5 |
| uncommon | 3.3310385E-5 |
| Round | 1.1103462E-5 |
| threats | 4.441385E-5 |
| Edinburgh | 4.441385E-5 |
| suppressed | 1.1103462E-5 |
| included | 4.441385E-5 |
| make | 4.2193156E-4 |
| fulfil | 7.772423E-5 |
| ingratitude | 3.3310385E-5 |
| assisting | 1.1103462E-5 |
| unallied | 1.1103462E-5 |
| penetrated | 3.3310385E-5 |
| opposed | 1.1103462E-5 |
| toilsome | 1.1103462E-5 |
| questioned | 1.1103462E-5 |
| noisome | 1.1103462E-5 |
| rapidly | 1.2213808E-4 |
| admittance | 1.1103462E-5 |
| tyrannical | 1.1103462E-5 |
| intensity | 2.2206925E-5 |
| witness | 3.3310385E-5 |
| avowal | 1.1103462E-5 |
| fortify | 1.1103462E-5 |
| due | 3.3310385E-5 |
| nourished | 1.1103462E-5 |
| waking | 1.1103462E-5 |
| threat | 7.772423E-5 |
| dun | 1.1103462E-5 |
| taunt | 1.1103462E-5 |
| properties | 1.1103462E-5 |
| Wealth | 1.1103462E-5 |
| inform | 3.3310385E-5 |
| avowed | 1.1103462E-5 |
| oppresses | 1.1103462E-5 |
| commit | 3.3310385E-5 |
| intertwined | 1.1103462E-5 |
| patriarchal | 1.1103462E-5 |
| sorrow | 1.6655194E-4 |
| cure | 1.1103462E-5 |
| trees | 2.2206924E-4 |
| Must | 1.1103462E-5 |
| observed | 2.331727E-4 |
| happier | 4.441385E-5 |
| “old | 1.1103462E-5 |
| hiding | 8.88277E-5 |
| observer | 1.1103462E-5 |
| dejection | 2.2206925E-5 |
| flourished | 1.1103462E-5 |
